"File",Field,Value
"Anise 139385_FINAL.csv",Certificate Number,Dokki-108043
"Anise 139385_FINAL.csv",Product,Anise
"Anise 139385_FINAL.csv",Lot Number,139385
"Anise 139385_FINAL.csv",Lot Size,1615 Kg
"Anise 139385_FINAL.csv",Analysis Mode,DETAILED
"Anise 139385_FINAL.csv",Compound,Result
"Anise 139385_FINAL.csv",Food,06692
"Anise 139385_FINAL.csv",Weight,1
"Basil 139690_FINAL.csv",Certificate Number,Dokki-194070
"Basil 139690_FINAL.csv",Product,Basil
"Basil 139690_FINAL.csv",Lot Number,139690
"Basil 139690_FINAL.csv",Lot Size,
"Basil 139690_FINAL.csv",Analysis Mode,DETAILED
"Basil 139690_FINAL.csv",Compound,Result
"Basil 139690_FINAL.csv",Basil,١
"Basil 139690_FINAL.csv",Result,0
"Basil 139753_FINAL.csv",Certificate Number,Dokki-209425
"Basil 139753_FINAL.csv",Product,Basil
"Basil 139753_FINAL.csv",Lot Number,
"Basil 139753_FINAL.csv",Lot Size,
"Basil 139753_FINAL.csv",Analysis Mode,DETAILED
"Basil 139753_FINAL.csv",Compound,Result
"Basil 139753_FINAL.csv",Phone,0
"Basil 139753_FINAL.csv",Size,14945
"Basil 139755_FINAL.csv",Certificate Number,Dokki-209589
"Basil 139755_FINAL.csv",Product,Basil
"Basil 139755_FINAL.csv",Lot Number,139755
"Basil 139755_FINAL.csv",Lot Size,
"Basil 139755_FINAL.csv",Analysis Mode,DETAILED
"Basil 139755_FINAL.csv",Compound,Result
"Basil 139755_FINAL.csv",Authenticity,٠
"Basil 139789_FINAL.csv",Certificate Number,Dokki-244939
"Basil 139789_FINAL.csv",Product,
"Basil 139789_FINAL.csv",Lot Number,
"Basil 139789_FINAL.csv",Lot Size,
"Basil 139789_FINAL.csv",Analysis Mode,DETAILED
"Basil 139789_FINAL.csv",Compound,Result
"Basil 139789_FINAL.csv",Food,0002
"Basil 139789_FINAL.csv",Authenticity,١
"Basil 139789_FINAL.csv",Customer,١
"Basil 139789_FINAL.csv",Adress,0
"Basil 139847_FINAL.csv",Certificate Number,Dokki-252854
"Basil 139847_FINAL.csv",Product,Basil
"Basil 139847_FINAL.csv",Lot Number,
"Basil 139847_FINAL.csv",Lot Size,
"Basil 139847_FINAL.csv",Analysis Mode,DETAILED
"Basil 139847_FINAL.csv",Compound,Result
"Basil 139847_FINAL.csv",Agriculture,0
"Basil 139847_FINAL.csv",Food,0662
"Basil 139847_FINAL.csv",Phone,1
"Basil 139853_FINAL.csv",Certificate Number,Dokki-252360
"Basil 139853_FINAL.csv",Product,Basil
"Basil 139853_FINAL.csv",Lot Number,139853
"Basil 139853_FINAL.csv",Lot Size,
"Basil 139853_FINAL.csv",Analysis Mode,EMPTY
"Basil 139853_FINAL.csv",Compound,Result
"Basil 139853_FINAL.csv",-,NO DATA DETECTED
"Basil 139859-139860_FINAL.csv",Certificate Number,Dokki-253589
"Basil 139859-139860_FINAL.csv",Product,Basil
"Basil 139859-139860_FINAL.csv",Lot Number,139859-139860
"Basil 139859-139860_FINAL.csv",Lot Size,11851 Kg
"Basil 139859-139860_FINAL.csv",Analysis Mode,DETAILED
"Basil 139859-139860_FINAL.csv",Compound,Result
"Basil 139859-139860_FINAL.csv",Center,١
"Basil 139859-139860_FINAL.csv",Food,0002
"Basil 139859-139860_FINAL.csv",Export,١
"Basil 139861-139862_FINAL.csv",Certificate Number,Dokki-253467
"Basil 139861-139862_FINAL.csv",Product,Basil
"Basil 139861-139862_FINAL.csv",Lot Number,
"Basil 139861-139862_FINAL.csv",Lot Size,
"Basil 139861-139862_FINAL.csv",Analysis Mode,DETAILED
"Basil 139861-139862_FINAL.csv",Compound,Result
"Basil 139861-139862_FINAL.csv",Food,000
"Basil 139861-139862_FINAL.csv",Tebuconazole,١
"Basil 139863_FINAL.csv",Certificate Number,Dokki-253590
"Basil 139863_FINAL.csv",Product,Basil
"Basil 139863_FINAL.csv",Lot Number,139863
"Basil 139863_FINAL.csv",Lot Size,
"Basil 139863_FINAL.csv",Analysis Mode,EMPTY
"Basil 139863_FINAL.csv",Compound,Result
"Basil 139863_FINAL.csv",-,NO DATA DETECTED
"Basil 139868_FINAL.csv",Certificate Number,Dokki-253591
"Basil 139868_FINAL.csv",Product,Basil
"Basil 139868_FINAL.csv",Lot Number,139868
"Basil 139868_FINAL.csv",Lot Size,6120 Kg
"Basil 139868_FINAL.csv",Analysis Mode,DETAILED
"Basil 139868_FINAL.csv",Compound,Result
"Basil 139868_FINAL.csv",Date,6661760
"Basil 139868_FINAL.csv",Variety,١
"Caraway 139906_FINAL.csv",Certificate Number,Dokki-273859
"Caraway 139906_FINAL.csv",Product,Caraway
"Caraway 139906_FINAL.csv",Lot Number,
"Caraway 139906_FINAL.csv",Lot Size,
"Caraway 139906_FINAL.csv",Analysis Mode,DETAILED
"Caraway 139906_FINAL.csv",Compound,Result
"Caraway 139906_FINAL.csv",Food,0072
"CertDill 3603-2_FINAL.csv",Certificate Number,Dokki-282982
"CertDill 3603-2_FINAL.csv",Product,Dill
"CertDill 3603-2_FINAL.csv",Lot Number,
"CertDill 3603-2_FINAL.csv",Lot Size,6000 Kg
"CertDill 3603-2_FINAL.csv",Analysis Mode,DETAILED
"CertDill 3603-2_FINAL.csv",Compound,Result
"CertDill 3603-2_FINAL.csv",Customer,٠
"CertDill 3603-2_FINAL.csv",Result,00
"CertDill 3603-2_FINAL.csv",Diazinon,0.037
"CertFennel 140-71-06-07-2765_FINAL.csv",Certificate Number,Dokki-283779
"CertFennel 140-71-06-07-2765_FINAL.csv",Product,
"CertFennel 140-71-06-07-2765_FINAL.csv",Lot Number,
"CertFennel 140-71-06-07-2765_FINAL.csv",Lot Size,20000 Kg
"CertFennel 140-71-06-07-2765_FINAL.csv",Analysis Mode,DETAILED
"CertFennel 140-71-06-07-2765_FINAL.csv",Compound,Result
"CertFennel 140-71-06-07-2765_FINAL.csv",Food,٠
"CertFennel 140-71-06-07-2765_FINAL.csv",Phone,١
"CertMajoram 128-33-03-01-2606A_FINAL.csv",Certificate Number,Dokki-289763
"CertMajoram 128-33-03-01-2606A_FINAL.csv",Product,Marjoram
"CertMajoram 128-33-03-01-2606A_FINAL.csv",Lot Number,128-33-03-01-2606A
"CertMajoram 128-33-03-01-2606A_FINAL.csv",Lot Size,
"CertMajoram 128-33-03-01-2606A_FINAL.csv",Analysis Mode,DETAILED
"CertMajoram 128-33-03-01-2606A_FINAL.csv",Compound,Result
"CertMajoram 128-33-03-01-2606A_FINAL.csv",Cypermethrin,0.011
"CertMajoram 128-33-03-01-2606A_FINAL.csv",Profenofos,٠
"CertMajoram 128-33-03-01-2606A_FINAL.csv",Dimethomorph,<LOQ
"CertMajoram 128-33-03-01-2606A_FINAL.csv",Imidacloprid,<LOQ
"CertMajoram 15102-2026_FINAL.csv",Certificate Number,Dokki-289762
"CertMajoram 15102-2026_FINAL.csv",Product,
"CertMajoram 15102-2026_FINAL.csv",Lot Number,
"CertMajoram 15102-2026_FINAL.csv",Lot Size,
"CertMajoram 15102-2026_FINAL.csv",Analysis Mode,DETAILED
"CertMajoram 15102-2026_FINAL.csv",Compound,Result
"CertMajoram 15102-2026_FINAL.csv",ACCREDITIE,3
"CertMajoram 15102-2026_FINAL.csv",Cypermethrin,0
"CertMajoram 15102-2026_FINAL.csv",Pendimethalin,0.011
